Order | Job | Op | Time(s)
  542 |  13 | 23 | 0.00000000
  543 |   7 | 24 | 0.00000000
  544 |  12 | 20 | 0.00000000
  545 |  16 | 20 | 0.00000000
  546 |  22 | 21 | 0.00000000
  547 |  23 | 21 | 0.00000000
  548 |  24 | 19 | 0.00000000
  549 |   0 | 22 | 0.00000000
  550 |  12 | 21 | 0.00000000
  551 |  11 | 21 | 0.00000000
  552 |  17 | 21 | 0.00000000
  553 |   6 | 24 | 0.00000000
  554 |  21 | 17 | 0.00000000
  555 |  24 | 20 | 0.00000000
  556 |  13 | 24 | 0.00000000
  557 |  15 | 22 | 0.00000000
  558 |  20 | 20 | 0.00000000
  559 |  23 | 22 | 0.00000000
  560 |   4 | 24 | 0.00000000
  561 |  17 | 22 | 0.00000000
  562 |   0 | 23 | 0.00000000
  563 |   5 | 20 | 0.00000000
  564 |   5 | 21 | 0.00000000
  565 |  10 | 24 | 0.00000000
  566 |  22 | 22 | 0.00000000
  567 |   1 | 23 | 0.00000000
  568 |  20 | 21 | 0.00000000
  569 |   2 | 22 | 0.00000000
  570 |  11 | 22 | 0.00000000
  571 |  18 | 19 | 0.00000000
  572 |  23 | 23 | 0.00000000
  573 |  24 | 21 | 0.00000000
  574 |   5 | 22 | 0.00000000
  575 |  11 | 23 | 0.00000000
  576 |  14 | 23 | 0.00000000
  577 |  18 | 20 | 0.00000000
  578 |   1 | 24 | 0.00000000
  579 |  15 | 23 | 0.00000000
  580 |  12 | 22 | 0.00000000
  581 |   0 | 24 | 0.00000000
  582 |  17 | 23 | 0.00000000
  583 |  20 | 22 | 0.00000000
  584 |  21 | 18 | 0.00000000
  585 |   3 | 19 | 0.00000000
  586 |  21 | 19 | 0.00000000
  587 |  23 | 24 | 0.00000000
  588 |   5 | 23 | 0.00000000
  589 |  22 | 23 | 0.00000000
  590 |   5 | 24 | 0.00000000
  591 |  11 | 24 | 0.00000000
  592 |  12 | 23 | 0.00000000
  593 |  24 | 22 | 0.00000000
  594 |  12 | 24 | 0.00000000
  595 |  14 | 24 | 0.00000000
  596 |  17 | 24 | 0.00000000
  597 |  22 | 24 | 0.00000000
  598 |  24 | 23 | 0.00000000
  599 |   3 | 20 | 0.00000000
  600 |  15 | 24 | 0.00000000
  601 |  18 | 21 | 0.00000000
  602 |   2 | 23 | 0.00000000
  603 |  20 | 23 | 0.00000000
  604 |   8 | 22 | 0.00000000
  605 |  18 | 22 | 0.00000000
  606 |  21 | 20 | 0.00000000
  607 |  20 | 24 | 0.00000000
  608 |  21 | 21 | 0.00000000
  609 |   2 | 24 | 0.00000000
  610 |   3 | 21 | 0.00000000
  611 |  24 | 24 | 0.00000000
  612 |  16 | 21 | 0.00000000
  613 |   8 | 23 | 0.00000000
